,year,version,statefips,countyfips,geocat,agecat,racecat,sexcat,iprcat,NIPR,nipr_moe,NUI,nui_moe,NIC,nic_moe,PCTUI,pctui_moe,PCTIC,pctic_moe,PCTELIG,pctelig_moe,PCTLIIC,pctliic_moe,state_name,county_name,fips
366,2018,        ,1,1,50,0,0,0,0,46709,0,4693,553,42016,553,10.0,1.2,90.0,1.2,10.0,1.2,90.0,1.2,Alabama                                                               ,Autauga County                               ,1001
462,2018,        ,1,3,50,0,0,0,0,172071,0,22660,1982,149411,1982,13.2,1.2,86.8,1.2,13.2,1.2,86.8,1.2,Alabama                                                               ,Baldwin County                               ,1003
558,2018,        ,1,5,50,0,0,0,0,17106,0,2310,269,14796,269,13.5,1.6,86.5,1.6,13.5,1.6,86.5,1.6,Alabama                                                               ,Barbour County                               ,1005
654,2018,        ,1,7,50,0,0,0,0,16643,0,1764,229,14879,229,10.6,1.4,89.4,1.4,10.6,1.4,89.4,1.4,Alabama                                                               ,Bibb County                                  ,1007
750,2018,        ,1,9,50,0,0,0,0,47053,0,6642,656,40411,656,14.1,1.4,85.9,1.4,14.1,1.4,85.9,1.4,Alabama                                                               ,Blount County                                ,1009
846,2018,        ,1,11,50,0,0,0,0,6864,0,815,109,6049,109,11.9,1.6,88.1,1.6,11.9,1.6,88.1,1.6,Alabama                                                               ,Bullock County                               ,1011
942,2018,        ,1,13,50,0,0,0,0,15443,0,1838,232,13605,232,11.9,1.5,88.1,1.5,11.9,1.5,88.1,1.5,Alabama                                                               ,Butler County                                ,1013
1038,2018,        ,1,15,50,0,0,0,0,91554,0,10166,1054,81388,1054,11.1,1.2,88.9,1.2,11.1,1.2,88.9,1.2,Alabama                                                               ,Calhoun County                               ,1015
1134,2018,        ,1,17,50,0,0,0,0,26631,0,3092,381,23539,381,11.6,1.4,88.4,1.4,11.6,1.4,88.4,1.4,Alabama                                                               ,Chambers County                              ,1017
1230,2018,        ,1,19,50,0,0,0,0,19892,0,2682,301,17210,301,13.5,1.5,86.5,1.5,13.5,1.5,86.5,1.5,Alabama                                                               ,Cherokee County                              ,1019
1326,2018,        ,1,21,50,0,0,0,0,36290,0,5930,604,30360,604,16.3,1.7,83.7,1.7,16.3,1.7,83.7,1.7,Alabama                                                               ,Chilton County                               ,1021
1422,2018,        ,1,23,50,0,0,0,0,9778,0,1319,147,8459,147,13.5,1.5,86.5,1.5,13.5,1.5,86.5,1.5,Alabama                                                               ,Choctaw County                               ,1023
1518,2018,        ,1,25,50,0,0,0,0,18882,0,2371,282,16511,282,12.6,1.5,87.4,1.5,12.6,1.5,87.4,1.5,Alabama                                                               ,Clarke County                                ,1025
1614,2018,        ,1,27,50,0,0,0,0,10358,0,1651,189,8707,189,15.9,1.8,84.1,1.8,15.9,1.8,84.1,1.8,Alabama                                                               ,Clay County                                  ,1027
1710,2018,        ,1,29,50,0,0,0,0,11936,0,1623,186,10313,186,13.6,1.6,86.4,1.6,13.6,1.6,86.4,1.6,Alabama                                                               ,Cleburne County                              ,1029
1806,2018,        ,1,31,50,0,0,0,0,42793,0,5359,537,37434,537,12.5,1.3,87.5,1.3,12.5,1.3,87.5,1.3,Alabama                                                               ,Coffee County                                ,1031
1902,2018,        ,1,33,50,0,0,0,0,43574,0,4936,570,38638,570,11.3,1.3,88.7,1.3,11.3,1.3,88.7,1.3,Alabama                                                               ,Colbert County                               ,1033
