AIANNHCE,community_name,population,testing,testing_date,testing_url,school,school_date,school_url,work,work_date,work_url,shelter,shelter_date,shelter_url,shelter_enforcement,shelter_enforcement_date,shelter_enforcement_url,event,event_date,event_url,transport,transport_date,transport_url,fdpir,fdpir_url,revenue,revenue_date,revenue_url,checkpoint,checkpoint_date,checkpoint_url,testing_time,parks,updated
3370,Pueblo of Sandia,417,,,,,,,True,2020-03-17,https://www.sandiacasino.com/your-safety-matters/,,,,,,,,,,,,,,,,,,,,,,,2020-05-09 16:36:38
990,Cherokee Nation,,True,2020-04-02,https://www.theonefeather.com/2020/04/cherokee-indian-hospital-starting-drive-thru-covid-19-testing/,True,2020-03-17,https://www.tahlequahdailypress.com/news/cherokee-nation-closes-schools-museums/article_58fb6a75-5257-57d8-86f8-68f110234fe3.html,True,2020-03-17,https://www.tahlequahdailypress.com/news/cherokee-nation-closes-schools-museums/article_58fb6a75-5257-57d8-86f8-68f110234fe3.html,,,,,,,True,2020-03-17,https://www.tahlequahdailypress.com/news/cherokee-nation-closes-schools-museums/article_58fb6a75-5257-57d8-86f8-68f110234fe3.html,,,,,,,,,,,,,,2020-05-09 16:37:20
3970,Standing Rock Sioux Tribe (North Dakota and South Dakota),8618,True,2020-05-09,https://www.kfyrtv.com/content/news/Standing-Rock-to-hold-mass-COIVD-19-testing-on-Saturday-570245661.html,True,2020-03-30,https://www.standing-rock.k12.nd.us/,True,2020-03-13,https://www.srstcovid19.com/,True,2020-03-13,https://www.srstcovid19.com/,False,,,True,,https://www.standingrock.org/content/covid-19,,,,,,,,,,,,,,2020-05-09 16:43:16
5590,The Choctaw Nation of Oklahoma,79006,True,2020-04-20,https://www.choctawnation.com/news-events/press-media/choctaw-nation-offers-covid-19-testing-public,True,2020-03-25,https://www.choctawnation.com/news-events/press-media/choctaw-nation-oklahoma-updates-related-coronavirus,True,2020-03-17,http://choctawnation.com/covid-19,False,,,False,2020-01-01,,True,2020-03-17,http://choctawnation.com/covid-19,,,,,,,,,,,,,,2020-05-09 16:49:26
4610,Wind River Inter-Tribal ,26490,True,2020-04-06,https://www.facebook.com/WRFCHCOfficial/posts/3972188532851114,True,,https://www.wyomingpublicmedia.org/post/wind-river-tribes-declare-states-emergency-prepare-covid-19#stream/0,True,,https://county10.com/wp-content/uploads/2020/04/2020-11357-WRIC-Rsltn-COVID-19.pdf,True,2020-03-23,https://www.wyomingpublicmedia.org/post/covid-19-reaches-wind-river-tribes-issue-stay-home-directive#stream/0,True,2020-04-18,https://trib.com/news/state-and-regional/tribal-court-says-violators-of-stay-at-home-order-on-reservation-could-face-jail-time/article_3ebc4b06-2562-5f2d-8027-9ad7fce900c9.html,True,2020-03-31,https://county10.com/wp-content/uploads/2020/04/2020-11357-WRIC-Rsltn-COVID-19.pdf,,,,,,,,,,,,,,2020-05-09 16:49:55
3000,Puyallup Tribe of the Puyallup Reservation,46816,False,,,True,2020-03-16,https://www.leschischools.org/,True,2020-03-16,http://news.puyalluptribe-nsn.gov/4585-2/,True,2020-03-24,http://news.puyalluptribe-nsn.gov/wp-content/uploads/2020/04/PTN_April2020.pdf,False,,,True,2020-03-24,http://puyallup-tribe.com/COVID19/covid.php,,,,True,https://stoww.org/fdpir,,,,,,,,,2020-05-10 16:38:51
4690,Confederated Tribes and Bands of the Yakama Nation,,True,2020-04-08,https://www.sunnysidesun.com/news/sundome-is-new-site-for-covid-19-testing-option/article_494374fe-784b-11ea-a33b-c7f162c3b6c5.html,True,2020-04-01,http://www.yakama.org/about/links.html,True,2020-03-23,http://www.yakamanation-nsn.gov/stay_home_stay_healthy.pdf,True,2020-03-23,http://www.yakamanation-nsn.gov/stay_home_stay_healthy.pdf,True,2020-04-16,https://kimatv.com/news/local/at-least-106-covid-19-cases-two-deaths-come-from-yakama-nation,True,2020-03-23,http://yakamanation.net/do_your_part.pdf,False,,https://www.facebook.com/pahtopublicpassage/posts/702702836561351,True,https://www.dshs.wa.gov/esa/eligibility-z-manual-ea-z/food-distribution-program-indian-reservations,,,,,,,,,2020-05-10 17:06:54
2430,"Navajo Nation (Arizona, New Mexico and Utah)",173667,True,2020-05-02,https://www.webmd.com/lung/news/20200504/navajo-nation-expands-covid-tests-keeps-lockdown,True,2020-04-03,https://www.propublica.org/article/a-school-on-navajo-nation-stayed-open-then-people-started-showing-symptoms,True,2020-04-10,https://www.wsws.org/en/articles/2020/04/13/nava-a13.html,True,2020-04-10,https://www.pbs.org/newshour/show/navajo-nation-hit-hard-by-covid-19-comes-together-to-protect-its-most-vulnerable,False,,,True,2020-04-10,https://www.pbs.org/newshour/show/navajo-nation-hit-hard-by-covid-19-comes-together-to-protect-its-most-vulnerable,False,2020-03-13,https://www.navajotransit.navajo-nsn.gov/,True,https://dbmefaapolicy.azdes.gov/index.html#page/FAA6/6.M_Contact_Information.14.200.html,,,,,,,,,2020-05-10 17:22:02
4290,Tulalip Tribes of Washington,10631,False,,,True,2020-03-13,https://www.msd25.org/article/205859?org=heritage-high-school,True,2020-03-27,https://www.heraldnet.com/news/tulalip-tribes-join-the-call-for-residents-to-stay-home/,True,2020-03-10,https://www.facebook.com/TulalipNews/photos/a.418454171617535/2799630500166545/?type=3&theater,True,2020-03-28,https://www.facebook.com/TulalipNews/photos/a.418454171617535/2705949926201270/?type=3&theater,False,2020-01-01,,False,,,True,https://stoww.org/fdpir,,,,,,,,,2020-05-10 17:50:48
2375,Muckleshoot Indian Tribe,3870,False,,,True,2020-03-13,https://www.facebook.com/100533941592033/photos/pcb.120012429644184/120012369644190/?type=3&theater,True,2020-03-24,https://www.facebook.com/100533941592033/photos/pcb.112479763730784/112479437064150/?type=3&theater,True,2020-03-13,https://www.facebook.com/100533941592033/photos/pcb.107489480896479/107489120896515/?type=3&theater,False,,,False,,,False,,,True,https://www.dshs.wa.gov/esa/eligibility-z-manual-ea-z/food-distribution-program-indian-reservations,,,,,,,,,2020-05-10 18:16:58
