fips,cases,deaths,date,pop
1,24601,773,2020-06-13,4779736
2,722,10,2020-06-13,710231
4,34773,1190,2020-06-13,6392017
5,12095,177,2020-06-13,2915918
6,150418,5059,2020-06-13,37253956
8,29002,1598,2020-06-13,5029196
9,44994,4186,2020-06-13,3574097
10,10229,419,2020-06-13,897934
11,9709,511,2020-06-13,601723
12,73544,2924,2020-06-13,18801310
13,54178,2411,2020-06-13,9687653
15,711,17,2020-06-13,1360301
16,3399,87,2020-06-13,1567582
17,133117,6491,2020-06-13,12830632
18,40535,2413,2020-06-13,6483802
19,23792,651,2020-06-13,3046355
20,11195,244,2020-06-13,2853118
21,12605,527,2020-06-13,4339367
22,46396,3004,2020-06-13,4533372
23,2757,100,2020-06-13,1328361
24,61935,2926,2020-06-13,5773552
25,105395,7576,2020-06-13,6547629
26,66024,6017,2020-06-13,9883640
27,30203,1314,2020-06-13,5303925
28,19348,889,2020-06-13,2967297
29,16327,890,2020-06-13,5988927
30,588,18,2020-06-13,989415
31,16634,221,2020-06-13,1826341
32,10992,463,2020-06-13,2700551
33,5299,318,2020-06-13,1316470
34,166605,12589,2020-06-13,8791894
35,9621,431,2020-06-13,2059179
36,387402,30565,2020-06-13,19378102
37,42911,1135,2020-06-13,9535483
38,3061,77,2020-06-13,672591
39,40848,2554,2020-06-13,11536504
40,8073,359,2020-06-13,3751351
41,5543,175,2020-06-13,3831074
42,82988,6264,2020-06-13,12702379
44,15947,833,2020-06-13,1052567
45,17955,599,2020-06-13,4625364
46,5833,75,2020-06-13,814180
47,29616,465,2020-06-13,6346105
48,88120,1989,2020-06-13,25145561
49,14061,139,2020-06-13,2763885
50,1125,55,2020-06-13,625741
51,53869,1541,2020-06-13,8001024
53,26920,1216,2020-06-13,6724540
54,2274,88,2020-06-13,1852994
55,22638,694,2020-06-13,5686986
56,1050,18,2020-06-13,563626
66,1154,6,2020-06-13,159358
69,30,2,2020-06-13,53971
72,5690,146,2020-06-13,3725789
78,72,6,2020-06-13,106405
